1000 31
2000 71
3000 103
4000 363
5000 188
6000 239
7000 276
8000 326
9000 359
10000 659
11000 423
12000 4120
13000 1639
14000 559
15000 604
16000 2485
17000 767
18000 768
19000 776
20000 908
21000 909
22000 1018
23000 1039
24000 1007
25000 2551
26000 1146
27000 1158
28000 2212
29000 4861
30000 1313
31000 3178
32000 1461
33000 1526
34000 1578
35000 1601
36000 1801
37000 5738
38000 1764
39000 3657
40000 1830
41000 1806
42000 3676
43000 2227
44000 6649
45000 2641
46000 2275
47000 9497
48000 7733
49000 4591
50000 3440
51000 6166
52000 4286
53000 3531
54000 7354
55000 2844
56000 12898
57000 4346
58000 4569
59000 3192
60000 3012
61000 3928
62000 3491
63000 6530
64000 4323
65000 4008
66000 4696
67000 6327
68000 7228
69000 6643
70000 3392
71000 4689
72000 10192
73000 3402
74000 3495
75000 5305
76000 5926
77000 3938
78000 9812
79000 3897
80000 3636
81000 7850
82000 4210
83000 5414
84000 4511
85000 5138
86000 4522
87000 4519
88000 6855
89000 7569
90000 7745
91000 8248
92000 5960
93000 6807
94000 8884
95000 6892
96000 9043
97000 7490
98000 6977
99000 9732
100000 7615
