1000 134
2000 520
3000 351
4000 520
5000 670
6000 878
7000 1155
8000 1107
9000 1167
10000 1195
11000 1625
12000 1657
13000 1765
14000 5250
15000 1893
16000 4466
17000 2227
18000 2408
19000 2557
20000 3044
21000 5356
22000 3548
23000 3657
24000 7055
25000 5445
26000 5551
27000 6541
28000 5078
29000 5918
30000 4974
31000 4083
32000 4738
33000 4442
34000 5687
35000 5293
36000 5257
37000 5536
38000 5618
39000 9670
40000 7900
41000 7986
42000 9195
43000 8348
44000 9084
45000 8699
46000 13401
47000 8548
48000 6985
49000 6800
50000 6873
51000 8336
52000 8782
53000 7872
54000 7841
55000 7845
56000 8597
57000 8136
58000 9647
59000 12834
60000 13355
61000 21591
62000 8808
63000 18267
64000 22529
65000 14638
66000 11949
67000 15409
68000 15066
69000 12803
70000 10837
71000 10949
72000 10084
73000 9946
74000 11813
75000 12264
76000 11305
77000 17513
78000 10182
79000 14664
80000 12982
81000 13424
82000 12992
83000 12019
84000 12583
85000 13409
86000 17849
87000 12455
88000 12505
89000 15043
90000 59198
91000 29360
92000 21008
93000 14547
94000 12204
95000 14848
96000 28558
97000 14320
98000 15798
99000 16932
100000 15202
