1000 2750
2000 2655
3000 19169
4000 27037
5000 16640
6000 18600
7000 29477
8000 33893
9000 50593
10000 68797
11000 86828
12000 151787
13000 151533
14000 163128
15000 202852
16000 301002
17000 299361
18000 373709
19000 453651
20000 496758
21000 489637
22000 650332
23000 590793
24000 778502
25000 717532
26000 853455
27000 939533
28000 950442
29000 1002988
30000 1469961
31000 1365902
32000 1218350
33000 1611132
34000 1505940
35000 1666884
36000 1674247
37000 1978026
38000 1892029
39000 2244877
40000 2048611
41000 2361347
42000 2325283
43000 2578615
44000 2601294
45000 2844518
46000 2817108
47000 3106897
48000 3188290
49000 3439898
50000 3478589
51000 3684394
52000 3837460
53000 3993504
54000 4262570
55000 4315749
56000 4411415
57000 4369164
58000 4582468
59000 4798223
60000 4951653
61000 5271752
62000 6113685
63000 6378639
64000 5957660
65000 6493829
66000 6152393
67000 6722530
68000 6823954
69000 7089941
70000 7379880
71000 8413235
72000 7509690
73000 9601189
74000 8513692
75000 8561503
76000 8865674
77000 8164357
78000 8428713
79000 8726939
80000 9181683
81000 9117392
82000 9434386
83000 10213965
84000 10832299
85000 10195449
86000 10480570
87000 10822125
88000 11134277
89000 11333544
90000 12330737
91000 12616989
92000 12766759
93000 12744017
94000 15234818
95000 14366974
96000 15202016
97000 14076259
98000 14745817
99000 14427242
100000 14880494
