1000 377
2000 725
3000 7949
4000 4767
5000 4605
6000 8404
7000 9478
8000 11005
9000 13483
10000 16555
11000 20257
12000 33766
13000 109039
14000 41277
15000 35118
16000 42951
17000 47052
18000 51068
19000 57132
20000 104068
21000 75224
22000 79925
23000 138891
24000 114657
25000 100385
26000 138403
27000 274806
28000 134441
29000 151728
30000 139137
31000 157600
32000 303109
33000 177895
34000 258690
35000 215320
36000 243713
37000 239733
38000 278770
39000 241409
40000 258695
41000 447644
42000 296629
43000 322007
44000 303612
45000 416083
46000 348577
47000 350065
48000 481346
49000 439708
50000 402730
51000 470712
52000 465712
53000 452485
54000 493507
55000 556769
56000 528423
57000 543860
58000 638708
59000 561138
60000 654493
61000 610338
62000 643527
63000 683043
64000 709688
65000 730290
66000 858586
67000 706263
68000 871911
69000 766164
70000 791090
71000 845452
72000 827862
73000 962018
74000 992170
75000 1025253
76000 1104745
77000 969587
78000 972105
79000 1026548
80000 1039558
81000 1042745
82000 1104354
83000 1088569
84000 1231069
85000 1178092
86000 1385753
87000 1231714
88000 1330309
89000 1303875
90000 1330331
91000 1331329
92000 1677345
93000 1459192
94000 1471031
95000 1531156
96000 1477746
97000 1714727
98000 1849233
99000 1565964
100000 1601526
